Aikaleima,Artist,Song,Anime/TV show
,Mamoru Miyano,Orpheus ,Uta no Prince-sama
,Hiro Shimono,Otokogi Zenkai Go!Fight!! ,Uta no Prince-sama
,QUARTET NIGHT,Poison KISS ,Uta no Prince-sama
,Junichi Suwabe,Sekai no Hate Made Believe Heart ,Uta no Prince-sama
,Mamoru Miyano,Shine ,Uta no Prince-sama
,Kishow Taniyama,Sirius e no Chikai ,Uta no Prince-sama
,Takuma Terashima,SMILE MAGIC ,Uta no Prince-sama
,Hiro Shimono,TRUE WING ,Uta no Prince-sama
,STARISH,Yume Oibito e no Symphony ,Uta no Prince-sama
,Lon,Ochame Kinou (Fukkireta) ,UTAU
,Teto Kasane,Ochame Kinou (Fukkireta) ,UTAU
,Suara,Amakakeru Hoshi ,Utawarerumono
,Suara,Fuantei na Kamisama ,Utawarerumono
,Suara,Musouka ,Utawarerumono
,Momoko Kanade,Akai Memories wo Anata ni ,Valvrave the Liberator
,Angela,Boku Ja Nai ,Valvrave the Liberator
,ON OFF,Futatsu no Kodou to Akai Tsumi ,Vampire Knight
,ON OFF,Rinne-Rondo ,Vampire Knight
,Kanon Wakeshima,Still doll ,Vampire Knight
,Kanon Wakeshima,Suna no Oshiro ,Vampire Knight
,LMYK,0  (Japanese ver.),Vanitas no Karte
,sasanomaly,Sora to Utsuro ,Vanitas no Karte
,Little Glee Monster,Your Name ,Vanitas no Karte
,SCREEN mode,MYSTERIUM ,Vatican Kiseki Chousakan
,Hiroko Suzuki,Bara Wa Utsukushiku Chiru ,Versailles no Bara
,Maki Kimura,Ano Hi Ni ,Video Girl Ai
,Noriko Sakai,Ureshii Namida ,Video Girl Ai
,Man With A Mission,Dark Crow ,Vinland Saga
,milet,Drown ,Vinland Saga
,Survive Said The Prophet,MUKANJYO ,Vinland Saga
,Aimer,Torches ,Vinland Saga
,Minori Chihara,Michishirube ,Violet Evergarden
,TRUE ,Sincerely ,Violet Evergarden
,Kairi Yagi,A Tender Moon Tempo,Vivy: Fluorite Eye's song
,Kairi Yagi,Fluorite Eye's Song,Vivy: Fluorite Eye's song
,Kairi Yagi,Galaxy Anthem,Vivy: Fluorite Eye's song
,Kairi Yagi,Sing my pleasure ,Vivy: Fluorite Eye's song
,Miku Hatsune,Ai Kotoba,VOCALOID
,DECO 27 feat. Marina,Aimai Elegy,VOCALOID
,Akuno-P feat. Rin Kagamine,Aku no Musume,VOCALOID
,Owata-P feat. Len & Rin Kagamine,Antichlorobenzene,VOCALOID
,Miku Hatsune feat. Namie Amuro,B Who I Want 2 B,VOCALOID
,Supercell feat. Gomu,Black Rock Shooter [ELD],VOCALOID
,Miku Hatsune,Bungaku Shounen no Yuuutsu,VOCALOID
,Gumi,Cha Cha Cha,VOCALOID
,Yuuyu-P feat. Miku Hatsune,Clover Club,VOCALOID
,DECO_27 feat. Megpoid,Coward Mont Blanc,VOCALOID
,Len Kagamine,Discotheque Love,VOCALOID
,Rin Kagamine x Luka Megurine,drop pop candy,VOCALOID
,Yuka Hiiragi x Sana,Happy Halloween,VOCALOID
,KEI feat. Luka Megurine,"Hello, Worker",VOCALOID
,Orangestar (cillia cover feat. VY1),Henceforth,VOCALOID
,DECO 27 feat. Hatsune Miku,Hibana,VOCALOID
,Rin & Len Kagamine,Himitsu ~Kuro no Chikai~,VOCALOID
15.7.2024 klo 12.48.34,Yugami-P,Hitobashira Alice,VOCALOID
,Miku Hatsune,HORIZON,VOCALOID
,Hatsune Miku,Houki Boshi,VOCALOID
,hitman bang feat. SeeU,I=Fantasy,VOCALOID
,Hatsune Miku,Ievan Polkka,VOCALOID
,Kaai Yuki,Ikanaide,VOCALOID
,Rin Kagamine,Iroha Uta,VOCALOID
,Wotamin,Irony,VOCALOID
,Hanatan,Jishou Mushoku,VOCALOID
,Miku Hatsune,Joker,VOCALOID
27.6.2024 klo 14.42.53,Kaito Shion,Judgement of Corruption,VOCALOID
,Luka Megurine,Just Be Friends,VOCALOID
,Kaito & Hatsune Miku,Kantarera (cantarella),VOCALOID
,GUMI,Kokoronashi,VOCALOID
,Hatsune Miku,"Last Night, Good Night",VOCALOID
,Hatsune Miku,Love is War,VOCALOID
,Megurine Luka,Luka Luka Night Fever,VOCALOID
,Hatsune Miku & Megurine Luka,Magnet,VOCALOID
,Miku Hatsune & Gumi,Matryoshka,VOCALOID
,Miku Hatsune,Melt,VOCALOID
,Miku Hatsune,Melt (Project Diva),VOCALOID
,iroha(sasaki) feat. Rin Kagamine,Meltdown,VOCALOID
,iroha(sasaki) feat. Miku Hatsune,Moon,VOCALOID
,DECO_27 feat. GUMI,Mozaik Role,VOCALOID
,Miku Hatsune & Len & Rin Kagamine & Luka Megurine & Gumi & Yuki Kaai,Mr.Music,VOCALOID
,Hatsune Miku,National French Anthem,VOCALOID
,Miku Hatsune,Natsu Matsuri,VOCALOID
,Ryo feat. Miku Hatsune,ODDS&ENDS,VOCALOID
,Len Kagamine,Pierrot No.V,VOCALOID
,Miku Hatsune,Po Pi Po,VOCALOID
,"Luka Megurine, Miku Hatsune, GUMI, IA, Kagamine Rin",Pomp and Circumstance,VOCALOID
,BUMP OF CHICKEN feat. Miku Hatsune,Ray,VOCALOID
,Luka Megurine,Rip=Release,VOCALOID
,kemu feat. IA,Rokuchounen to ichiya monogatari (A Tale of Six Trillion Years and One Night),VOCALOID
,Miku Hatsune,Rolling Girl,VOCALOID
,Miku Hatsune,Romeo and Cinderella,VOCALOID
,Miku Hatsune,Rotten Girl,VOCALOID
,ASY feat. IA,SEE THE LIGHTS,VOCALOID
,KurousaP feat. Hatsune Miku,Senbonzakura,VOCALOID
,yanagi-P feat. KAITO,Sennen no Dokusou Ka,VOCALOID
,IA x Luka Megurine,Sick,VOCALOID
,iroha(sasaki) feat. Rin Kagamine,Sigh,VOCALOID
,Hachi feat. Miku Hatsune,Suna no Wakusei,VOCALOID
,livetune feat. Hatsune Miku,Tell Your world,VOCALOID
,Omoi feat. Hatsune Miku,Teo (short),VOCALOID
,Rin Kagamine,Tokyo Teddy Bear,VOCALOID
,Miku Hatsune,Torinoko City (Remake),VOCALOID
,Kagamine Len & Rin,Trick and Treat,VOCALOID
,Miku Hatsune,Two Breaths Walking,VOCALOID
,Hatsune Miku,Ura Omote Lovers,VOCALOID
,Miku Hatsune,Ura Omote Lovers,VOCALOID
,kz & Hachioji-P feat. Miku Hatsune,Weekender Girl,VOCALOID
,Hatsune Miku,World is mine,VOCALOID
,Kagamine Len,World is Mine,VOCALOID
,kz feat. Miku Hatsune,Yellow,VOCALOID
,DECO 27 feat. Hatsune Miku,Yume Yume,VOCALOID
,Nanashi Mumei,A New Start,Vtuber
,Hakoz Baelz & Inugami Korone,BITE! KAMU! BITE!,Vtuber
,Hoshimachi Suisei,Soiree,Vtuber
,Bijou Koseki,STICKING OUT YOUR GYATT FOR NERIZZLER,Vtuber
,Kana Asumi,Someone Else ,Wagnaria!!
,Izumi Kitta,Dou Kangaete mo Watashi wa Warukunai ,WataMote
,Konomi Suzuki n' Kiba of Akiba,Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui ,Watamote
,Rie Murakawa,Dokidoki no Kaze ,Watashi ga Motete Dousunda
,From4to7,PrincexPrince ,Watashi ga Motete Dousunda
,Aki Misato,Spread Wings ,We Without Wings
,FURIL,21 Seiki no Juliette ,Wedding Peach
,FURIL,Merry Angel ,Wedding Peach
,FURIL,Virgin Love ,Wedding Peach
,Erina Nakajima,Wedding Wars ,Wedding Peach
,FURIL,Yume Miru ai Tenshi ,Wedding Peach
,fhána,Divine Intervention ,Witch Craft Works
,KMM Dan,Witch?Activity ,Witch Craft Works
,Bana,Half pain ,Witch Hunter Robin
,Bana,Shell ,Witch Hunter Robin
,Who-ya Extended,Bitter end,Uron Mirage
,YOASOBI,Watch me!,Witch Watch
,Lia,Justitia ,Wizard Barristers: Benmashi Cecil
,Yun chi,Lucky Girl ,Wooser no Sono Higurashi: Mugen–hen
,Myuji,eX Dream  ,X-1999
,Kohei Koizumi,Secret Sorrow ,X-1999
,Suga Shikao,19sai ,xxxHolic
,Seamo feat. Ayuse Kozue,Honey Honey ,xxxHolic
,BUCK-TICK,Kagerou ,xxxHolic
,Suga Shikao,Nobody Knows ,xxxHolic
,Kiiro Akiyama,Identity,Yakusoku no Neverland
,Myuk,Mahou,Yakusoku no Neverland
,WEAVER,Kuchizuke Diamond ,Yamada-kun to 7-nin no majo
,TO DESTINATION,Eden ,Yami no Matsuei
,Hekiru Shiina,Dame yo! Dame yo! Dame yo!! ,YAT Anshin! Uchuu Ryojou
,HIM,Heaven ,YAT Anshin! Uchuu Ryojou
,Hekiru Shiina,Moon Light ,YAT Anshin! Uchuu Ryojou
,Lilith,ARCADIA ,Yi Ren Zhi Xia
,Affective Synergy,In the Dawn ,Yi Ren Zhi Xia
,Creepy Nuts,Daten ,Yofukashi no Uta
,Creepy Nuts,Yofukashi no Uta ,Yofukashi no Uta
,Juuji Ishiwatari & Yoshinori Sunahara + Etsuko Yakushimaru,Kamisama no Iutoori ,Yojouhan Shinwa Taikei
,MYTH&ROID,Jingo Jungle ,Youjo Senki
,Aoi Yuuki,Los! Los! Los! ,Youjo Senki
,UMI?KUUN,I am Just Feeling Alive ,Young Black Jack
,Yama,GRIDOUT,Your Forma
,UNISON SQUARE GARDEN,Sakura no Ato ,Yozakura Quartet: Hana no Uta
,UNISON SQUARE GARDEN,Sakura no Ato (all quartets lead to the) ,Yozakura Quartet: Hana no Uta
,phatmans after school,Tsukiyomi ,Yozora Quartet
,Kimeru,Overlap ,Yu Gi Oh
,Masami Okui,Shuffle ,Yu Gi Oh
,Matsuko Mawatari,Daydream Generation ,Yu Yu Hakusho
,Matsuko Mawatari,Hohoemi no Bakudan ,Yu Yu Hakusho
,Yu Yu Hakusho,Hohoemi no Bakudan ,Yu Yu Hakusho
,Matsuko Mawatari,Homework ga Owaranai ,Yu Yu Hakusho
,Matsuko Mawatari,Sayonara bye bye ,Yu Yu Hakusho
,Hiro Takahashi,Taiyo ga Mata Kagayaku Toki ,Yu Yu Hakusho
,Hiro Takahashi,Unbalance na Kiss wo Shite ,Yu Yu Hakusho
,Alice Nine,CROSS GAME ,Yu-Gi-Oh!
,Mihimaru GT,Masterpiece ,Yugioh Zexal
,Marina Fujiwara,Daydream Syndrome ,Yumekui Merry
,Bonjour Suzuki,Ano Mori de Matteru ,Yuri Kuma Arashi
,"Miho Arakawa, Yoshiko Ikuta and Nozomi Yamane",Territory ,Yuri Kuma Arashi
,Dean Fujioka,History Maker ,Yuri on Ice
,YURI!!! on ICE feat. Wataru Hatano,You Only Live Once ,Yuri on Ice
22.9.2023 klo 15.46.26,Asaka,SHINY DAYS,Yuru Camp
,Masayoshi Ooishi,Shinda!,Yuusha ga Shinda
,Mayumi Morinaga,Affection ,Yuyushiki
,Jouhoushori-bu,Se-no! ,Yuyushiki
,Zetsubou Shoujotachi,Zetsubou Restaurant ,Zan Sayonara Zetsubou Sensei
,Aimer,"Dare ka, Umi wo ",Zankyou no Terror
,Yuuki Ozaki,Trigger ,Zankyou no Terror
,Rocky Chack,And You ,Zegapain
,Akino Arai,Kimi e Mukau Hikari ,Zegapain
,Rocky Chack,Last Blue ,Zegapain
,Rocky Chack,Little Goodbye ,Zegapain
,Ichiko,First Kiss ,Zero no Tsukaima
,Rie Kugimiya,Gomen Ne ,Zero no Tsukaima
,Rie Kugimiya,Honto No Kimochi ,Zero no Tsukaima
,ICHIKO,I Say Yes ,Zero no Tsukaima
,Ichiko,Ill Be There For You ,Zero no Tsukaima
,Rie Kugimiya,Kiss Shite Agenai ,Zero no Tsukaima
,Rie Kugimiya,Suki Kirai! Suki!!! ,Zero no Tsukaima
,Ichiko,You're The One ,Zero no Tsukaima
,Tomohisa Sako,Bokutachi no Uta ,Zetsuen no Tempest
,Kylee,Daisuki na no ni ,Zetsuen no Tempest
,Kana Hanazawa,happy endings ,Zetsuen no Tempest
,Nothing's Carved In Stone,Spirit Inspiration ,Zetsuen no Tempest
,Ayaka,Okaeri ,Zettai Kareshi
,Ramar,Wild Flowers ,Zoids
,Kenji Ohtsuki & Zetsubou Shoujo-tachi,Kuusou Rumba ,Zoku Sayonara Zetsubou Sensei 
,Heart of Air,Kiss Me Sunlight ,Zone of the Enders: 2167 Idolo
